sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_sample_0	hymet_reads	class	3.2202	3.2202	60.00	60.00	60.00	3	2	2
cami_sample_0	hymet_reads	order	6.3153	6.3153	60.00	50.00	54.55	3	2	3
cami_sample_0	hymet_reads	family	4.3546	4.3546	54.55	60.00	57.14	6	5	4
cami_sample_0	hymet_reads	genus	47.2905	47.6693	28.00	58.33	37.84	7	18	5
cami_sample_0	hymet_reads	species	96.3967	96.3972	30.30	47.62	37.04	10	23	11
cami_sample_0	kraken2	superkingdom	52.9345	79.7619	16.67	100.00	28.57	1	5	0
cami_sample_0	kraken2	phylum	46.3606	81.7384	50.00	66.67	57.14	2	2	1
cami_sample_0	kraken2	class	46.7595	82.4408	57.14	80.00	66.67	4	3	1
cami_sample_0	kraken2	order	51.9914	91.6694	50.00	83.33	62.50	5	5	1
cami_sample_0	kraken2	family	48.1308	84.8595	47.06	80.00	59.26	8	9	2
cami_sample_0	kraken2	genus	52.1295	93.1452	26.67	66.67	38.10	8	22	4
cami_sample_0	kraken2	species	54.2195	95.5917	21.05	38.10	27.12	8	30	13
cami_sample_0	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	1
cami_sample_0	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_sample_0	squeezemeta	class	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_sample_0	squeezemeta	order	49.9999	100.0000	0.00	0.00	0.00	0	0	6
cami_sample_0	squeezemeta	family	50.0000	100.0000	0.00	0.00	0.00	0	0	10
cami_sample_0	squeezemeta	genus	49.2052	100.0000	0.00	0.00	0.00	0	0	12
cami_sample_0	squeezemeta	species	49.9996	100.0000	0.00	0.00	0.00	0	0	21
